epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
33,39.3352,0.18508,0.81818,1,0.50268,0.000487805,0.000487805,0.000487805
34,40.467,0.35676,0.72727,1,0.5209,0.000480736,0.000480736,0.000480736
35,41.5667,0.19586,0.81818,1,0.51945,0.000473668,0.000473668,0.000473668
36,42.6826,0.38539,0.72727,1,0.54979,0.000466599,0.000466599,0.000466599
37,43.7701,0.2534,0.81818,1,0.54934,0.00045953,0.00045953,0.00045953
38,44.8882,0.22769,0.72727,1,0.56123,0.000452462,0.000452462,0.000452462
39,45.985,0.1711,0.72727,1,0.54757,0.000445393,0.000445393,0.000445393
40,47.0972,0.13794,0.72727,1,0.55219,0.000438325,0.000438325,0.000438325
41,48.1686,0.30924,0.72727,1,0.54611,0.000431256,0.000431256,0.000431256
42,49.2651,0.25213,0.72727,1,0.53516,0.000424187,0.000424187,0.000424187
43,50.3313,0.14892,0.72727,1,0.52267,0.000417119,0.000417119,0.000417119
44,51.4533,0.20876,0.72727,1,0.53931,0.00041005,0.00041005,0.00041005
45,52.6237,0.25902,0.72727,1,0.53531,0.000402982,0.000402982,0.000402982
46,53.9261,0.23884,0.72727,1,0.53459,0.000395913,0.000395913,0.000395913
47,55.1376,0.10361,0.72727,1,0.54567,0.000388844,0.000388844,0.000388844
48,56.3915,0.29189,0.72727,1,0.57512,0.000381776,0.000381776,0.000381776
49,57.7203,0.11317,0.72727,1,0.58529,0.000374707,0.000374707,0.000374707
50,59.0834,0.11249,0.72727,1,0.59512,0.000367639,0.000367639,0.000367639
51,60.2762,0.22693,0.72727,1,0.60457,0.00036057,0.00036057,0.00036057
52,61.5409,0.14459,0.63636,1,0.61637,0.000353501,0.000353501,0.000353501
53,62.7724,0.20586,0.63636,1,0.61714,0.000346433,0.000346433,0.000346433
54,64.0889,0.35331,0.63636,1,0.64435,0.000339364,0.000339364,0.000339364
55,65.3737,0.36059,0.63636,1,0.64572,0.000332296,0.000332296,0.000332296
56,66.6365,0.1371,0.63636,1,0.6445,0.000325227,0.000325227,0.000325227
57,67.8613,0.47357,0.63636,1,0.66059,0.000318158,0.000318158,0.000318158
58,69.1783,0.12694,0.63636,1,0.62746,0.00031109,0.00031109,0.00031109
59,70.3872,0.1613,0.63636,1,0.6382,0.000304021,0.000304021,0.000304021
60,71.6531,0.23212,0.63636,1,0.65222,0.000296953,0.000296953,0.000296953
61,72.9088,0.22569,0.63636,1,0.63968,0.000289884,0.000289884,0.000289884
62,74.2471,0.08828,0.63636,1,0.63523,0.000282815,0.000282815,0.000282815
63,75.6005,0.29105,0.63636,1,0.64509,0.000275747,0.000275747,0.000275747
64,76.8814,0.14405,0.63636,1,0.63673,0.000268678,0.000268678,0.000268678
65,78.1327,0.11714,0.63636,1,0.63277,0.00026161,0.00026161,0.00026161
66,79.4658,0.40301,0.63636,1,0.62892,0.000254541,0.000254541,0.000254541
67,80.7196,0.317,0.63636,1,0.61931,0.000247472,0.000247472,0.000247472
68,82.0065,0.28723,0.72727,1,0.61311,0.000240404,0.000240404,0.000240404
69,83.267,0.22289,0.72727,1,0.61051,0.000233335,0.000233335,0.000233335
70,84.6138,0.11905,0.63636,1,0.61592,0.000226267,0.000226267,0.000226267
71,85.8787,0.18102,0.63636,1,0.60903,0.000219198,0.000219198,0.000219198
72,87.1648,0.08794,0.63636,1,0.61227,0.000212129,0.000212129,0.000212129
73,88.4609,0.25796,0.63636,1,0.61418,0.000205061,0.000205061,0.000205061
74,89.8096,0.21039,0.63636,1,0.62649,0.000197992,0.000197992,0.000197992
75,91.0719,0.16481,0.63636,1,0.62697,0.000190924,0.000190924,0.000190924
76,92.3707,0.09321,0.63636,1,0.63933,0.000183855,0.000183855,0.000183855
77,93.6406,0.16555,0.63636,1,0.6427,0.000176786,0.000176786,0.000176786
78,95.0047,0.10156,0.63636,1,0.62625,0.000169718,0.000169718,0.000169718
79,96.2829,0.18128,0.63636,1,0.62357,0.000162649,0.000162649,0.000162649
80,97.6683,0.11558,0.63636,1,0.61567,0.000155581,0.000155581,0.000155581
81,98.9797,0.11814,0.63636,1,0.61516,0.000148512,0.000148512,0.000148512
82,100.289,0.10862,0.63636,1,0.60637,0.000141443,0.000141443,0.000141443
83,101.543,0.17983,0.63636,1,0.60953,0.000134375,0.000134375,0.000134375
84,102.837,0.09431,0.63636,1,0.61622,0.000127306,0.000127306,0.000127306
85,106.063,0.16557,0.63636,1,0.61711,0.000120238,0.000120238,0.000120238
86,107.561,0.22792,0.63636,1,0.61192,0.000113169,0.000113169,0.000113169
87,109.075,0.0821,0.63636,1,0.61207,0.0001061,0.0001061,0.0001061
88,110.56,0.06414,0.72727,1,0.60494,9.90318e-05,9.90318e-05,9.90318e-05
89,111.844,0.10328,0.63636,1,0.60319,9.19632e-05,9.19632e-05,9.19632e-05
90,113.346,0.11125,0.72727,1,0.59975,8.48946e-05,8.48946e-05,8.48946e-05
91,114.711,0.1727,0.72727,1,0.59949,7.7826e-05,7.7826e-05,7.7826e-05
92,116.04,0.18792,0.63636,1,0.63095,7.07574e-05,7.07574e-05,7.07574e-05
93,117.32,0.17837,0.63636,1,0.62677,6.36888e-05,6.36888e-05,6.36888e-05
94,118.623,0.10375,0.63636,1,0.62925,5.66202e-05,5.66202e-05,5.66202e-05
95,120.041,0.28618,0.63636,1,0.62373,4.95516e-05,4.95516e-05,4.95516e-05
96,121.47,0.33208,0.63636,1,0.62259,4.2483e-05,4.2483e-05,4.2483e-05
97,122.751,0.08342,0.63636,1,0.61967,3.54144e-05,3.54144e-05,3.54144e-05
98,124.054,0.1745,0.72727,1,0.59948,2.83458e-05,2.83458e-05,2.83458e-05
99,125.399,0.11665,0.72727,1,0.60612,2.12772e-05,2.12772e-05,2.12772e-05
100,126.744,0.07265,0.72727,1,0.60742,1.42086e-05,1.42086e-05,1.42086e-05
