epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.059,0.89589,2.93294,1.45776,0.33075,0.73888,0.45272,0.30737,0.98761,3.33457,1.61934,0.000407986,0.000407986,0.000407986
2,559.857,0.91942,2.26343,1.45194,0.3983,0.46943,0.51135,0.35435,1.13025,2.55773,1.78298,0.000743012,0.000743012,0.000743012
3,801.036,0.96892,2.10531,1.48534,0.44124,0.50047,0.46204,0.31982,1.22614,2.60464,1.90086,0.000995538,0.000995538,0.000995538
4,1078.71,0.93364,1.91882,1.4448,0.36887,0.55357,0.46919,0.30831,1.33314,2.40974,2.16134,0.00087875,0.00087875,0.00087875
5,1357.51,0.90624,1.71832,1.41866,0.3447,0.55117,0.43291,0.30183,1.21231,2.47119,1.76737,0.000755,0.000755,0.000755
6,1642.77,0.8763,1.57479,1.37802,0.55055,0.6941,0.64476,0.47603,1.15446,1.92043,1.70328,0.00063125,0.00063125,0.00063125
7,1911.36,0.83975,1.43402,1.36955,0.65129,0.64967,0.71479,0.53829,0.99578,1.67754,1.51262,0.0005075,0.0005075,0.0005075
8,2190.13,0.77006,1.29739,1.277,0.66387,0.68559,0.75814,0.60052,0.99664,1.54631,1.52997,0.00038375,0.00038375,0.00038375
9,2480.31,0.72967,1.16029,1.25059,0.65667,0.85284,0.83116,0.65879,0.97773,1.44603,1.49342,0.00026,0.00026,0.00026
10,2766.61,0.69901,1.08073,1.21612,0.58364,0.80866,0.78173,0.61774,0.90689,1.3562,1.40043,0.00013625,0.00013625,0.00013625
